# ARMAX Iris Drone Run #1
# Recorded: 2026-05-09 12:39:03.611366
# Sample rate: 100 Hz (Ts = 0.01s)
# Pre-drop hover: 5.0s
# Post-drop log:  25.0s
# Drop sample idx: 501
# MATLAB: y=roll_deg, u=drop_event, Ts=0.01
#
time_s,phase,roll_deg,pitch_deg,yaw_deg,rollspeed_deg_s,pitchspeed_deg_s,yawspeed_deg_s,drop_event
0.0,PRE_DROP,-0.008006,0.011178,-0.008172,-0.034487,0.00787,-0.000362,0
0.01,PRE_DROP,-0.007664,0.011255,-0.008176,0.115871,0.007675,-0.000364,0
0.02,PRE_DROP,-0.005665,0.011278,-0.00818,0.215205,-0.011956,-0.000411,0
0.03,PRE_DROP,-0.004555,0.011156,-0.008184,0.026233,-0.012298,-0.000444,0
0.04,PRE_DROP,-0.005182,0.011035,-0.008188,-0.099646,-0.012032,-0.000433,0
0.05,PRE_DROP,-0.005468,0.010915,-0.008192,0.0532,-0.012009,-0.000421,0
0.06,PRE_DROP,-0.003942,0.01079,-0.009068,0.223336,-0.017782,-0.383241,0
0.07,PRE_DROP,-0.001643,0.010501,-0.008603,0.195983,-0.035959,0.015978,0
0.08,PRE_DROP,-0.000736,0.010138,-0.008611,0.006512,-0.036415,-0.000657,0
0.09,PRE_DROP,-0.000994,0.00978,-0.008617,-0.026953,-0.035499,-0.000652,0
0.1,PRE_DROP,-0.000574,0.009425,-0.008624,0.123218,-0.035285,-0.000657,0
0.11,PRE_DROP,0.001527,0.009074,-0.008631,0.24179,-0.035277,-0.000701,0
0.12,PRE_DROP,0.003522,0.008727,-0.008638,0.125156,-0.034187,-0.000756,0
0.13,PRE_DROP,0.003733,0.008382,-0.008646,-0.061597,-0.034397,-0.000768,0
0.14,PRE_DROP,0.003054,0.00812,-0.007451,-0.009061,-0.018913,0.000481,0
0.15,PRE_DROP,0.003972,0.007932,-0.007456,0.174663,-0.018562,-0.000509,0
0.16,PRE_DROP,0.006284,0.007745,-0.007462,0.235607,-0.018802,-0.000561,0
0.17,PRE_DROP,0.008631,0.007562,-0.007468,0.23343,-0.018094,-0.00062,0
0.18,PRE_DROP,0.010578,0.007194,-0.011152,0.153318,-0.058849,-0.401564,0
0.19,PRE_DROP,0.011939,0.006523,-0.011495,0.132813,-0.067566,-0.001568,0
0.2,PRE_DROP,0.013253,0.005854,-0.011511,0.131001,-0.065833,-0.001602,0
0.21,PRE_DROP,0.014403,0.005259,-0.011526,0.125316,-0.066422,-0.001629,0
0.22,PRE_DROP,0.015771,0.00454,-0.011544,0.122934,-0.064814,-0.001662,0
0.23,PRE_DROP,0.016974,0.003892,-0.011561,0.119401,-0.064143,-0.001692,0
0.24,PRE_DROP,0.018136,0.003259,-0.01245,0.104175,-0.058306,-0.384503,0
0.25,PRE_DROP,0.018875,0.003059,-0.012731,0.058527,0.016835,0.388077,0
0.26,PRE_DROP,0.019248,0.003315,-0.005064,0.032225,0.026142,0.799908,0
0.27,PRE_DROP,0.019553,0.003203,-0.00441,0.029965,-0.055296,-0.000168,0
0.28,PRE_DROP,0.0199,0.002146,-0.006955,0.049355,-0.131159,-0.788186,0
0.29,PRE_DROP,0.020221,0.000942,-0.012103,-0.002543,-0.101197,-0.401981,0
0.3,PRE_DROP,0.019907,0.000329,-0.013252,-0.03593,-0.01887,-0.00212,0
0.31,PRE_DROP,0.019883,0.0005,-0.009596,0.036389,0.03988,0.398764,0
0.32,PRE_DROP,0.020602,0.001103,-0.005603,0.063577,0.057942,0.399654,0
0.33,PRE_DROP,0.020707,0.001401,-0.001602,-0.033215,0.007215,0.400512,0
0.34,PRE_DROP,0.020277,0.001047,-0.002943,-0.018561,-0.067588,-0.399094,0
0.35,PRE_DROP,0.020362,0.000252,-0.00815,-0.007323,-0.069461,-0.402076,0
0.36,PRE_DROP,0.019869,-0.000135,-0.010492,-0.066575,-0.003566,-0.002383,0
0.37,PRE_DROP,0.019408,0.000266,-0.007631,-0.010477,0.065611,0.399229,0
0.38,PRE_DROP,0.019446,0.000993,-0.006442,-0.006014,0.066795,0.38942,0
0.39,PRE_DROP,0.018866,0.001391,-0.002438,-0.100222,0.01741,0.400379,0
0.4,PRE_DROP,0.017716,0.001469,-0.002979,-0.103219,0.002122,-0.382418,0
0.41,PRE_DROP,0.01722,0.001219,-0.006984,-0.005889,-0.047064,-0.400776,0
0.42,PRE_DROP,0.017626,0.000507,-0.009323,0.05856,-0.081544,-0.002068,0
0.43,PRE_DROP,0.017671,-0.000218,-0.010137,-0.073032,-0.069653,-0.001391,0
0.44,PRE_DROP,0.016023,-0.000942,-0.009349,-0.213532,-0.079017,0.015421,0
0.45,PRE_DROP,0.014243,-0.001545,-0.005685,-0.135336,-0.038065,0.399788,0
0.46,PRE_DROP,0.013442,-0.001681,-0.003356,-0.01572,-0.003649,0.001097,0
0.47,PRE_DROP,0.013958,-0.001896,-0.006162,0.083854,-0.038438,-0.010454,0
0.48,PRE_DROP,0.014306,-0.00232,-0.007034,-0.018902,-0.032,-0.399833,0
0.49,PRE_DROP,0.013641,-0.002364,-0.011046,-0.105832,0.017743,-0.401542,0
0.5,PRE_DROP,0.012452,-0.002099,-0.011388,-0.116736,0.027149,-0.001503,0
0.51,PRE_DROP,0.011289,-0.001833,-0.011403,-0.115716,0.026164,-0.001473,0
0.52,PRE_DROP,0.010163,-0.001569,-0.011418,-0.110993,0.026296,-0.001444,0
0.53,PRE_DROP,0.009065,-0.001309,-0.011432,-0.107695,0.026047,-0.001418,0
0.54,PRE_DROP,0.007938,-0.001084,-0.009772,-0.136755,0.009635,0.398086,0
0.55,PRE_DROP,0.006349,-0.001118,-0.006978,-0.13859,0.006655,0.398878,0
0.56,PRE_DROP,0.0055,-0.000819,-0.005521,-0.029543,0.034171,-0.38174,0
0.57,PRE_DROP,0.005716,-0.000749,-0.00779,0.044116,-0.01542,0.379448,0
0.58,PRE_DROP,0.005304,-0.00099,-0.00746,-0.121912,-0.024504,-0.000462,0
0.59,PRE_DROP,0.003341,-0.00131,-0.006262,-0.219743,-0.038747,0.000847,0
0.6,PRE_DROP,0.001619,-0.001851,-0.008267,-0.104755,-0.063687,-0.00137,0
0.61,PRE_DROP,0.001511,-0.002453,-0.007468,0.038518,-0.052873,0.009045,0
0.62,PRE_DROP,0.001893,-0.002978,-0.007474,0.037984,-0.051807,-0.000337,0
0.63,PRE_DROP,0.001876,-0.003343,-0.009481,-0.064259,-0.026999,-0.00163,0
0.64,PRE_DROP,0.000914,-0.003609,-0.009489,-0.096923,-0.026388,-0.000748,0
0.65,PRE_DROP,-3e-05,-0.003873,-0.009496,-0.093191,-0.026261,-0.000724,0
0.66,PRE_DROP,-0.00095,-0.004134,-0.009503,-0.090133,-0.026046,-0.000702,0
0.67,PRE_DROP,-0.001843,-0.004392,-0.00951,-0.089075,-0.025527,-0.000679,0
0.68,PRE_DROP,-0.002709,-0.004647,-0.009517,-0.084779,-0.025555,-0.000658,0
0.69,PRE_DROP,-0.003553,-0.0049,-0.009523,-0.083472,-0.025088,-0.000637,0
0.7,PRE_DROP,-0.004371,-0.00515,-0.00953,-0.081166,-0.024812,-0.000616,0
0.71,PRE_DROP,-0.005089,-0.005372,-0.009535,-0.078614,-0.024658,-0.000599,0
0.72,PRE_DROP,-0.00594,-0.005642,-0.009541,-0.077089,-0.024201,-0.000577,0
0.73,PRE_DROP,-0.006689,-0.005884,-0.009547,-0.073706,-0.024172,-0.000558,0
0.74,PRE_DROP,-0.00742,-0.006123,-0.009553,-0.071808,-0.023873,-0.00054,0
0.75,PRE_DROP,-0.008128,-0.00636,-0.009558,-0.070601,-0.023455,-0.000522,0
0.76,PRE_DROP,-0.008816,-0.006595,-0.009563,-0.067213,-0.023493,-0.000505,0
0.77,PRE_DROP,-0.009327,-0.006962,-0.009898,-0.027151,-0.06316,0.381157,0
0.78,PRE_DROP,-0.009529,-0.00765,-0.003893,-0.045065,-0.056277,0.401821,0
0.79,PRE_DROP,-0.010467,-0.007937,-0.007234,-0.131109,-0.00611,-0.400076,0
0.8,PRE_DROP,-0.011696,-0.00802,-0.012041,-0.084527,-0.027398,-0.401059,0
0.81,PRE_DROP,-0.011668,-0.008382,-0.012379,0.084383,-0.036653,-0.001065,0
0.82,PRE_DROP,-0.010249,-0.008596,-0.009515,0.147738,-0.017084,0.38305,0
0.83,PRE_DROP,-0.009515,-0.008929,-0.008388,-0.005372,-0.035621,-0.000234,0
0.84,PRE_DROP,-0.010318,-0.009361,-0.007188,-0.101939,-0.050741,0.001004,0
