# ARMAX Iris Drone Run #19
# Recorded: 2026-05-10 12:03:55.958327
# Sample rate: 100 Hz (Ts = 0.01s)
# Pre-drop hover: 5.0s
# Post-drop log:  25.0s
# Drop sample idx: 501
# MATLAB: y=roll_deg, u=drop_event, Ts=0.01
#
time_s,phase,roll_deg,pitch_deg,yaw_deg,rollspeed_deg_s,pitchspeed_deg_s,yawspeed_deg_s,drop_event
0.0,PRE_DROP,-0.001049,-0.007986,-0.225518,0.029675,-0.096552,0.130097,0
0.01,PRE_DROP,-0.001031,-0.008932,-0.224268,-0.044348,-0.092003,0.115528,0
0.02,PRE_DROP,-0.001896,-0.009728,-0.223325,-0.137287,-0.085611,0.096323,0
0.03,PRE_DROP,-0.004129,-0.010542,-0.223032,-0.211889,-0.087966,0.070772,0
0.04,PRE_DROP,-0.006082,-0.010808,-0.225055,-0.130431,-0.007301,-0.218275,0
0.05,PRE_DROP,-0.00655,-0.010712,-0.22711,0.021452,0.023874,-0.195145,0
0.06,PRE_DROP,-0.00542,-0.010866,-0.22665,0.129219,-0.03477,0.132176,0
0.07,PRE_DROP,-0.004712,-0.011182,-0.225494,0.035733,-0.032596,0.119359,0
0.08,PRE_DROP,-0.005015,-0.011501,-0.224324,-0.080327,-0.026037,0.095587,0
0.09,PRE_DROP,-0.006428,-0.011639,-0.224112,-0.143177,-0.028357,0.072248,0
0.1,PRE_DROP,-0.00773,-0.011313,-0.226127,-0.066463,0.051612,-0.217667,0
0.11,PRE_DROP,-0.007428,-0.010756,-0.227471,0.136633,0.023424,0.115597,0
0.12,PRE_DROP,-0.005869,-0.010479,-0.226765,0.166054,0.011939,0.130039,0
0.13,PRE_DROP,-0.00478,-0.010353,-0.225517,0.060239,0.015263,0.114626,0
0.14,PRE_DROP,-0.00476,-0.010168,-0.22449,-0.0456,0.02119,0.092891,0
0.15,PRE_DROP,-0.006022,-0.009626,-0.225941,-0.149564,0.052618,-0.234343,0
0.16,PRE_DROP,-0.006958,-0.009219,-0.227551,-0.042426,0.064336,-0.215862,0
0.17,PRE_DROP,-0.005961,-0.009279,-0.226103,0.071778,0.058554,-0.259843,0
0.18,PRE_DROP,-0.005071,-0.009067,-0.228103,0.076966,-0.001957,-0.17974,0
0.19,PRE_DROP,-0.004337,-0.009325,-0.229863,0.070247,-0.045092,-0.17307,0
0.2,PRE_DROP,-0.003672,-0.010008,-0.231558,0.063149,-0.087214,-0.166613,0
0.21,PRE_DROP,-0.003073,-0.011115,-0.233187,0.056718,-0.12954,-0.160026,0
0.22,PRE_DROP,-0.002065,-0.013043,-0.233072,0.090469,-0.201201,-0.133166,0
0.23,PRE_DROP,-0.000996,-0.015567,-0.23218,0.082095,-0.267743,0.172487,0
0.24,PRE_DROP,-0.000768,-0.018193,-0.23058,-0.024957,-0.259505,0.150104,0
0.25,PRE_DROP,-0.001366,-0.020779,-0.229397,0.026009,-0.330825,0.466949,0
0.26,PRE_DROP,-0.001072,-0.023766,-0.227507,-0.010701,-0.246335,-0.143462,0
0.27,PRE_DROP,-0.001229,-0.026438,-0.228977,-0.017838,-0.285683,-0.143681,0
0.28,PRE_DROP,-0.001433,-0.029512,-0.230379,-0.021004,-0.325856,-0.136877,0
0.29,PRE_DROP,-0.001543,-0.033106,-0.23101,0.04083,-0.415652,0.180941,0
0.3,PRE_DROP,-0.000523,-0.037507,-0.227651,0.14134,-0.461307,0.522258,0
0.31,PRE_DROP,0.000379,-0.041622,-0.223872,0.019706,-0.364571,0.180692,0
0.32,PRE_DROP,-0.000271,-0.044986,-0.223599,-0.187466,-0.248235,-0.459944,0
0.33,PRE_DROP,-0.00175,-0.047438,-0.22838,-0.109974,-0.248515,-0.470322,0
0.34,PRE_DROP,-0.001229,-0.050759,-0.22899,0.061187,-0.27721,-0.418948,0
0.35,PRE_DROP,0.000234,-0.054376,-0.228966,0.159072,-0.403424,0.212752,0
0.36,PRE_DROP,0.001232,-0.058367,-0.226957,0.051925,-0.394808,0.190821,0
0.37,PRE_DROP,0.001474,-0.062481,-0.223813,0.034077,-0.430818,0.494865,0
0.38,PRE_DROP,0.001203,-0.065732,-0.222596,-0.047192,-0.245928,-0.145541,0
0.39,PRE_DROP,0.001537,-0.067972,-0.224062,0.100216,-0.208996,-0.13657,0
0.4,PRE_DROP,0.003016,-0.070035,-0.225344,0.152643,-0.220083,-0.124721,0
0.41,PRE_DROP,0.004609,-0.072585,-0.225858,0.192153,-0.31006,0.188652,0
0.42,PRE_DROP,0.005961,-0.07567,-0.223962,0.0868,-0.305544,0.179471,0
0.43,PRE_DROP,0.006226,-0.07866,-0.222297,-0.020911,-0.295198,0.156584,0
0.44,PRE_DROP,0.005822,-0.081248,-0.221493,-0.048201,-0.190909,-0.169014,0
0.45,PRE_DROP,0.006182,-0.082968,-0.223066,0.103487,-0.157,-0.147096,0
0.46,PRE_DROP,0.007681,-0.084517,-0.224453,0.15496,-0.169513,-0.135085,0
0.47,PRE_DROP,0.009378,-0.086647,-0.224437,0.176486,-0.252772,0.185045,0
0.48,PRE_DROP,0.010548,-0.089124,-0.222705,0.068339,-0.244534,0.163136,0
0.49,PRE_DROP,0.010877,-0.091601,-0.220484,0.062608,-0.270642,0.461795,0
0.5,PRE_DROP,0.010865,-0.093213,-0.220154,0.003412,-0.098342,-0.177958,0
0.51,PRE_DROP,0.011726,-0.094015,-0.221816,0.152882,-0.065911,-0.15608,0
0.52,PRE_DROP,0.013482,-0.094766,-0.223318,0.17191,-0.09353,-0.147522,0
0.53,PRE_DROP,0.015353,-0.096142,-0.223424,0.193962,-0.176521,0.172784,0
0.54,PRE_DROP,0.016532,-0.097725,-0.222476,0.068759,-0.155835,0.133223,0
0.55,PRE_DROP,0.016801,-0.099389,-0.220435,0.035397,-0.200705,0.441828,0
0.56,PRE_DROP,0.016713,-0.100512,-0.218969,0.008306,-0.07101,0.116946,0
0.57,PRE_DROP,0.016862,-0.100424,-0.220704,0.076378,0.028185,-0.190149,0
0.58,PRE_DROP,0.018103,-0.100132,-0.222517,0.128992,0.013891,-0.177542,0
0.59,PRE_DROP,0.019473,-0.10035,-0.223556,0.169694,-0.078109,0.136397,0
0.6,PRE_DROP,0.020602,-0.101124,-0.222181,0.064929,-0.074437,0.127571,0
0.61,PRE_DROP,0.020661,-0.10183,-0.221027,-0.041369,-0.067809,0.105642,0
0.62,PRE_DROP,0.020315,-0.102591,-0.218434,-0.059905,-0.018242,0.093505,0
0.63,PRE_DROP,0.019788,-0.101979,-0.220407,0.009805,0.080023,-0.213682,0
0.64,PRE_DROP,0.020782,-0.101149,-0.221775,0.127377,0.092524,-0.181934,0
0.65,PRE_DROP,0.022112,-0.100553,-0.222985,0.165937,0.002714,0.11957,0
0.66,PRE_DROP,0.02306,-0.100388,-0.222486,-0.009558,0.067983,-0.203656,0
0.67,PRE_DROP,0.022734,-0.099995,-0.22222,0.007563,-0.031769,0.465164,0
0.68,PRE_DROP,0.022326,-0.099782,-0.218588,-0.090055,0.079616,0.079775,0
0.69,PRE_DROP,0.021499,-0.09832,-0.220789,-0.020974,0.164527,-0.236531,0
0.7,PRE_DROP,0.022092,-0.096786,-0.222075,0.05598,0.160106,-0.220197,0
0.71,PRE_DROP,0.022745,-0.095547,-0.223543,0.098684,0.067109,0.093717,0
0.72,PRE_DROP,0.023178,-0.09488,-0.222589,-0.004402,0.068962,0.085602,0
0.73,PRE_DROP,0.022708,-0.094281,-0.221144,-0.038187,0.023526,0.382656,0
0.74,PRE_DROP,0.021961,-0.093565,-0.218669,-0.105185,0.134805,0.054581,0
0.75,PRE_DROP,0.020966,-0.091482,-0.22042,-0.053978,0.240869,-0.25758,0
0.76,PRE_DROP,0.020923,-0.08925,-0.222264,-0.014757,0.216518,-0.245489,0
0.77,PRE_DROP,0.020748,-0.087331,-0.224678,-0.019086,0.1712,-0.237811,0
0.78,PRE_DROP,0.020681,-0.085982,-0.226309,0.045719,0.0765,0.081521,0
0.79,PRE_DROP,0.021635,-0.085447,-0.223721,0.064626,0.101081,0.105445,0
0.8,PRE_DROP,0.022314,-0.083761,-0.224171,0.078007,0.227001,-0.22898,0
0.81,PRE_DROP,0.024232,-0.081616,-0.224966,0.314867,0.17924,0.125842,0
0.82,PRE_DROP,0.028568,-0.079961,-0.22344,0.532763,0.156326,0.173696,0
0.83,PRE_DROP,0.034419,-0.078017,-0.223833,0.630287,0.218786,-0.120658,0
