# ARMAX Iris Drone Run #12
# Recorded: 2026-05-10 11:27:31.771660
# Sample rate: 100 Hz (Ts = 0.01s)
# Pre-drop hover: 5.0s
# Post-drop log:  25.0s
# Drop sample idx: 501
# MATLAB: y=roll_deg, u=drop_event, Ts=0.01
#
time_s,phase,roll_deg,pitch_deg,yaw_deg,rollspeed_deg_s,pitchspeed_deg_s,yawspeed_deg_s,drop_event
0.0,PRE_DROP,0.002391,0.006839,-0.016404,-0.177608,0.050304,-0.289828,0
0.01,PRE_DROP,0.000812,0.007007,-0.018105,-0.127326,-0.001391,-0.278932,0
0.02,PRE_DROP,0.000254,0.00679,-0.020799,0.002369,-0.038656,-0.261757,0
0.03,PRE_DROP,0.000771,0.006201,-0.023349,0.051247,-0.074134,-0.254426,0
0.04,PRE_DROP,0.000901,0.00532,-0.022082,-0.059241,-0.082057,0.110998,0
0.05,PRE_DROP,3.2e-05,0.004583,-0.017914,-0.113982,-0.049479,0.481318,0
0.06,PRE_DROP,-0.001394,0.004627,-0.018146,-0.058675,0.017294,0.110258,0
0.07,PRE_DROP,-0.000818,0.004856,-0.016948,0.153163,0.027901,0.131073,0
0.08,PRE_DROP,0.000423,0.005205,-0.01877,0.091444,0.023786,-0.254474,0
0.09,PRE_DROP,0.001013,0.005258,-0.021346,0.032559,-0.009691,-0.260159,0
0.1,PRE_DROP,0.001179,0.004937,-0.022753,0.034209,-0.050258,0.124114,0
0.11,PRE_DROP,0.001675,0.004524,-0.021539,0.062218,-0.034564,0.122702,0
0.12,PRE_DROP,0.002479,0.004258,-0.0172,0.056784,-0.003032,0.498906,0
0.13,PRE_DROP,0.002134,0.004697,-0.015767,-0.114386,0.058039,-0.279793,0
0.14,PRE_DROP,0.001047,0.005066,-0.018292,-0.088174,0.026526,-0.276055,0
0.15,PRE_DROP,0.001182,0.005078,-0.01896,0.116461,-0.009111,0.128417,0
0.16,PRE_DROP,0.002712,0.005115,-0.021491,0.166827,-0.005473,-0.242714,0
0.17,PRE_DROP,0.003979,0.004921,-0.020129,0.05292,-0.013121,0.120388,0
0.18,PRE_DROP,0.003635,0.004861,-0.019033,-0.105649,-0.000101,0.100914,0
0.19,PRE_DROP,0.002663,0.004937,-0.018016,-0.048518,0.013663,0.107259,0
0.2,PRE_DROP,0.003346,0.005129,-0.016805,0.16337,0.024159,0.132222,0
0.21,PRE_DROP,0.004966,0.005481,-0.01745,0.126885,0.034525,-0.251117,0
0.22,PRE_DROP,0.005902,0.005644,-0.019993,0.066537,0.001109,-0.256879,0
0.23,PRE_DROP,0.006247,0.005471,-0.022592,0.008666,-0.032255,-0.262341,0
0.24,PRE_DROP,0.006824,0.005015,-0.0213,0.069392,-0.037932,0.123364,0
0.25,PRE_DROP,0.007704,0.004712,-0.016954,0.064206,-0.006952,0.499633,0
0.26,PRE_DROP,0.007641,0.005018,-0.014017,-0.084821,0.051297,0.100951,0
0.27,PRE_DROP,0.006262,0.00569,-0.018064,-0.080983,0.049455,-0.276796,0
0.28,PRE_DROP,0.006163,0.005979,-0.02074,0.047349,0.011691,-0.259961,0
0.29,PRE_DROP,0.007268,0.005822,-0.022495,0.111703,-0.033729,-0.251931,0
0.3,PRE_DROP,0.007998,0.005339,-0.021184,-8e-06,-0.041881,0.115209,0
0.31,PRE_DROP,0.00771,0.004996,-0.016975,-0.055864,-0.010614,0.485445,0
0.32,PRE_DROP,0.006735,0.005229,-0.015279,-0.092537,0.034513,0.101021,0
0.33,PRE_DROP,0.006327,0.005897,-0.016117,0.064302,0.069695,0.117606,0
0.34,PRE_DROP,0.007562,0.006555,-0.015692,0.090951,0.064748,-0.257311,0
0.35,PRE_DROP,0.008149,0.007016,-0.018293,0.032225,0.030748,-0.26258,0
0.36,PRE_DROP,0.008154,0.007136,-0.020948,-0.025417,-0.003464,-0.268001,0
0.37,PRE_DROP,0.007596,0.006921,-0.023657,-0.079969,-0.036474,-0.273094,0
0.38,PRE_DROP,0.008053,0.006286,-0.021615,0.130624,-0.055703,0.131563,0
0.39,PRE_DROP,0.009963,0.005981,-0.017525,0.182093,-0.001378,0.513278,0
0.4,PRE_DROP,0.010541,0.006278,-0.016295,-0.026719,0.032901,0.108366,0
0.41,PRE_DROP,0.009495,0.006669,-0.017379,-0.16501,0.042019,-0.28688,0
0.42,PRE_DROP,0.008193,0.006646,-0.017086,-0.076402,-0.025664,0.106026,0
0.43,PRE_DROP,0.008605,0.006454,-0.015888,0.136818,-0.014407,0.131097,0
0.44,PRE_DROP,0.010162,0.006479,-0.016835,0.138999,-0.00214,0.130296,0
0.45,PRE_DROP,0.010666,0.006527,-0.015643,-0.021466,0.010688,0.110426,0
0.46,PRE_DROP,0.009784,0.006699,-0.01462,-0.101308,0.021092,0.100637,0
0.47,PRE_DROP,0.008826,0.006998,-0.01557,-0.071925,0.028106,-0.274358,0
